epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.115404380692376,1.38671875,26.81159420289855,66.66666666666667
1,3.6192833052741156,1.3858129528985508,48.55072463768116,58.69565217391305
2,4.025216473473443,1.385954483695652,48.55072463768116,58.69565217391305
3,3.050971998108758,1.3851902173913044,48.55072463768116,57.971014492753625
4,4.144108189476861,1.384284420289855,48.55072463768116,58.69565217391305
5,3.5054666466183133,1.3835909193840579,48.55072463768116,69.56521739130434
6,5.1652087105645075,1.3836616847826086,48.55072463768116,69.56521739130434
7,3.9067834350797863,1.382416213768116,48.55072463768116,58.69565217391305
8,2.6061547464794583,1.3828408061594204,48.55072463768116,58.69565217391305
9,2.2263889180289373,1.3827700407608696,48.55072463768116,58.69565217391305
10,1.5997151931126912,1.3835343070652173,48.55072463768116,58.69565217391305
11,1.4056167999903362,1.3834635416666667,48.55072463768116,58.69565217391305
12,1.3428657319810655,1.3834635416666667,10.144927536231885,58.69565217391305
13,1.3206683529747858,1.3834635416666667,10.144927536231885,58.69565217391305
14,1.3176357348759968,1.383392776268116,10.144927536231885,58.69565217391305
15,1.3241946299870808,1.383392776268116,10.144927536231885,58.69565217391305
16,1.3796243005328708,1.383392776268116,10.144927536231885,58.69565217391305
17,1.281753381093343,1.383392776268116,10.144927536231885,58.69565217391305
18,1.2836399210823908,1.383392776268116,10.144927536231885,58.69565217391305
19,1.274441613091363,1.383392776268116,10.144927536231885,58.69565217391305
20,1.2689234018325806,1.383392776268116,10.144927536231885,58.69565217391305
21,1.2729023562537298,1.383392776268116,10.144927536231885,58.69565217391305
22,1.2754020558463202,1.3824869791666667,10.144927536231885,58.69565217391305
23,1.2707898616790771,1.3825577445652173,48.55072463768116,58.69565217391305
24,1.267012119293213,1.3825577445652173,48.55072463768116,58.69565217391305
25,1.2679026789135404,1.381651947463768,48.55072463768116,58.69565217391305
26,1.2746579514609442,1.3817227128623188,48.55072463768116,58.69565217391305
27,1.265580005115933,1.3817227128623188,48.55072463768116,58.69565217391305
28,1.2577548954221938,1.3817227128623188,48.55072463768116,58.69565217391305
29,1.257537669605679,1.3808876811594204,48.55072463768116,58.69565217391305
30,1.2590027915106878,1.3808876811594204,48.55072463768116,58.69565217391305
31,1.2506164047453139,1.3808876811594204,48.55072463768116,58.69565217391305
32,1.2664129071765475,1.380958446557971,48.55072463768116,58.69565217391305
33,1.3237740596135457,1.380958446557971,48.55072463768116,58.69565217391305
34,1.7058257924185858,1.3800526494565217,48.55072463768116,58.69565217391305
35,1.4219710164599948,1.3800526494565217,48.55072463768116,58.69565217391305
36,1.3555428451961942,1.3791468523550725,48.55072463768116,58.69565217391305
37,1.2965369092093573,1.3791468523550725,48.55072463768116,58.69565217391305
38,1.2998979621463351,1.3792176177536233,48.55072463768116,58.69565217391305
39,1.2798941002951727,1.3783118206521738,48.55072463768116,58.69565217391305
40,1.2806109189987183,1.3783118206521738,48.55072463768116,58.69565217391305
41,1.2733467022577922,1.3783825860507246,48.55072463768116,58.69565217391305
42,1.27130745516883,1.3783825860507246,48.55072463768116,58.69565217391305
